Южный федеральный округ;Адыгея Республика;г. Адыгейск;2300
Южный федеральный округ;Адыгея Республика;г. Майкоп;2300
Центральный федеральный округ;Белгородская Область;Алексеевский район;2650
Центральный федеральный округ;Белгородская Область;г. Белгород;1800
Центральный федеральный округ;Белгородская Область;Губкинский район;1800
Центральный федеральный округ;Белгородская Область;Корочанский район;1800
Центральный федеральный округ;Белгородская Область;Красногвардейский район;2650
Центральный федеральный округ;Белгородская Область;Новооскольский район;1800
Центральный федеральный округ;Белгородская Область;Старооскольский городской округ;1800
Центральный федеральный округ;Белгородская Область;Яковлевский район;1800
Южный федеральный округ;Волгоградская Область;г. Волгоград;2600
Южный федеральный округ;Волгоградская Область;г. Волжский;2600
Южный федеральный округ;Волгоградская Область;г. Краснослободск;2600
Центральный федеральный округ;Воронежская Область;Борисоглебск;1800
Центральный федеральный округ;Воронежская Область;Аннинский;2850
Центральный федеральный округ;Воронежская Область;Бобровский;2850
Центральный федеральный округ;Воронежская Область;Богучарский;2850
Центральный федеральный округ;Воронежская Область;Бутурлиновский;2850
Центральный федеральный округ;Воронежская Область;Верхнемамонский;2850
Центральный федеральный округ;Воронежская Область;Верхнехавский;2850
Центральный федеральный округ;Воронежская Область;Воробьевский;2850
Центральный федеральный округ;Воронежская Область;Воронеж;1500
Центральный федеральный округ;Воронежская Область;городской округ Нововоронеж;1800
Центральный федеральный округ;Воронежская Область;Грибановский;2850
Центральный федеральный округ;Воронежская Область;Калачеевский;2850
Центральный федеральный округ;Воронежская Область;Каменский;2850
Центральный федеральный округ;Воронежская Область;Кантемировский;2850
Центральный федеральный округ;Воронежская Область;Каширский;2850
Центральный федеральный округ;Воронежская Область;Лискинский;1800
Центральный федеральный округ;Воронежская Область;Нижнедевицкий;2850
Центральный федеральный округ;Воронежская Область;Новоусманский;2850
Центральный федеральный округ;Воронежская Область;Новохоперский;2850
Центральный федеральный округ;Воронежская Область;Ольховатский;2850
Центральный федеральный округ;Воронежская Область;Острогожский;1800
Центральный федеральный округ;Воронежская Область;Павловский;1800
Центральный федеральный округ;Воронежская Область;Панинский;2850
Центральный федеральный округ;Воронежская Область;Петропавловский;2850
Центральный федеральный округ;Воронежская Область;Поворинский;2850
Центральный федеральный округ;Воронежская Область;Подгоренский;2850
Центральный федеральный округ;Воронежская Область;Рамонский;2850
Центральный федеральный округ;Воронежская Область;Репьевский;2850
Центральный федеральный округ;Воронежская Область;Россошанский;1800
Центральный федеральный округ;Воронежская Область;Семилукский;1800
Центральный федеральный округ;Воронежская Область;Таловский;2850
Центральный федеральный округ;Воронежская Область;Терновский;2850
Центральный федеральный округ;Воронежская Область;Хохольский;2850
Центральный федеральный округ;Воронежская Область;Эртильский;2850
Центральный федеральный округ;Ивановская Область;Верхнеландеховский район;2100
Центральный федеральный округ;Ивановская Область;Вичугский район;2100
Центральный федеральный округ;Ивановская Область;г. Иваново;2400
Центральный федеральный округ;Ивановская Область;Гаврило-Посадский район;2400
Центральный федеральный округ;Ивановская Область;городской округ Кохма;2100
Центральный федеральный округ;Ивановская Область;Заволжский район;2400
Центральный федеральный округ;Ивановская Область;Ильинский район;2100
Центральный федеральный округ;Ивановская Область;Кинешемский район;2400
Центральный федеральный округ;Ивановская Область;Комсомольский район;2400
Центральный федеральный округ;Ивановская Область;Лежневский район;2100
Центральный федеральный округ;Ивановская Область;Лухский район;2100
Центральный федеральный округ;Ивановская Область;Палехский район;2100
Центральный федеральный округ;Ивановская Область;Пестяковский район;2100
Центральный федеральный округ;Ивановская Область;Приволжский район;2100
Центральный федеральный округ;Ивановская Область;Пучежский район;2100
Центральный федеральный округ;Ивановская Область;Родниковский район;2400
Центральный федеральный округ;Ивановская Область;Савинский район;2100
Центральный федеральный округ;Ивановская Область;Тейковский район;2400
Центральный федеральный округ;Ивановская Область;Фурмановский район;2400
Центральный федеральный округ;Ивановская Область;Шуйский район;2400
Центральный федеральный округ;Ивановская Область;Южский район;2400
Центральный федеральный округ;Ивановская Область;Юрьевецкий район;2100
Центральный федеральный округ;Калужская Область;Бабынинский район;2000
Центральный федеральный округ;Калужская Область;Барятинский район;2000
Центральный федеральный округ;Калужская Область;Белоусово;2000
Центральный федеральный округ;Калужская Область;Боровск;2000
Центральный федеральный округ;Калужская Область;Боровск-1;2000
Центральный федеральный округ;Калужская Область;Боровской район;1700
Центральный федеральный округ;Калужская Область;г. Калуга;2400
Центральный федеральный округ;Калужская Область;г. Обнинск;1700
Центральный федеральный округ;Калужская Область;Дзержинский район;2000
